crude version 0.62, Copyright (C) 1999 Juha Laine and Sampo Saaristo
crude comes with ABSOLUTELY NO WARRANTY!
This is free software, and you are welcome to redistribute it
under GNU GENERAL PUBLIC LICENSE Version 2.
ID=30 SEQ=103 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.939555 Rx=1109936732.939476 SIZE=1472
ID=30 SEQ=104 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.949555 Rx=1109936732.949469 SIZE=1472
ID=30 SEQ=105 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.959555 Rx=1109936732.959464 SIZE=1472
ID=30 SEQ=106 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.969555 Rx=1109936732.969458 SIZE=1472
ID=30 SEQ=107 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.979555 Rx=1109936732.979577 SIZE=1472
ID=30 SEQ=108 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.989555 Rx=1109936732.989446 SIZE=1472
ID=30 SEQ=109 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936732.999555 Rx=1109936732.999566 SIZE=1472
ID=30 SEQ=110 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936733.009555 Rx=1109936733.009560 SIZE=1472
ID=30 SEQ=111 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936733.019555 Rx=1109936733.019554 SIZE=1472
ID=30 SEQ=112 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936733.029555 Rx=1109936733.029549 SIZE=1472
ID=30 SEQ=113 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936733.039555 Rx=1109936733.039542 SIZE=1472
ID=30 SEQ=114 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936733.049555 Rx=1109936733.049536 SIZE=1472
ID=30 SEQ=115 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936733.059555 Rx=1109936733.059530 SIZE=1472
ID=30 SEQ=116 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936733.069555 Rx=1109936733.069525 SIZE=1472
ID=30 SEQ=117 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936733.079555 Rx=1109936733.079518 SIZE=1472
ID=30 SEQ=118 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936733.089555 Rx=1109936733.089513 SIZE=1472
ID=30 SEQ=119 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936733.099555 Rx=1109936733.099507 SIZE=1472
ID=30 SEQ=120 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936733.109555 Rx=1109936733.109501 SIZE=1472
ID=30 SEQ=121 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936733.119555 Rx=1109936733.119495 SIZE=1472
ID=30 SEQ=122 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936733.129555 Rx=1109936733.129489 SIZE=1472
ID=30 SEQ=123 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936733.139555 Rx=1109936733.139483 SIZE=1472
ID=30 SEQ=124 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936733.149555 Rx=1109936733.149477 SIZE=1472
ID=30 SEQ=125 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936733.159555 Rx=1109936733.159471 SIZE=1472
ID=30 SEQ=126 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936733.169555 Rx=1109936733.169466 SIZE=1472
ID=30 SEQ=127 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936733.179555 Rx=1109936733.179460 SIZE=1472
ID=30 SEQ=128 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936733.189555 Rx=1109936733.189454 SIZE=1472
ID=30 SEQ=129 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936733.199555 Rx=1109936733.199574 SIZE=1472
ID=30 SEQ=130 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936733.209555 Rx=1109936733.209567 SIZE=1472
ID=30 SEQ=131 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936733.219555 Rx=1109936733.219562 SIZE=1472
ID=30 SEQ=132 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936733.229555 Rx=1109936733.229556 SIZE=1472
ID=30 SEQ=133 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936733.239555 Rx=1109936733.239550 SIZE=1472
ID=30 SEQ=134 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936733.249555 Rx=1109936733.249543 SIZE=1472
ID=30 SEQ=135 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936733.259555 Rx=1109936733.259538 SIZE=1472
ID=30 SEQ=136 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936733.269555 Rx=1109936733.269532 SIZE=1472
ID=30 SEQ=137 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936733.279555 Rx=1109936733.279526 SIZE=1472
ID=30 SEQ=138 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936733.289555 Rx=1109936733.289520 SIZE=1472
ID=30 SEQ=139 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936733.299555 Rx=1109936733.299515 SIZE=1472
ID=30 SEQ=140 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936733.309555 Rx=1109936733.309508 SIZE=1472
ID=30 SEQ=141 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936733.319555 Rx=1109936733.319503 SIZE=1472
ID=30 SEQ=142 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936733.329555 Rx=1109936733.329497 SIZE=1472
ID=30 SEQ=143 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936733.339555 Rx=1109936733.339491 SIZE=1472
ID=30 SEQ=144 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936733.349555 Rx=1109936733.349485 SIZE=1472
ID=30 SEQ=145 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936733.359555 Rx=1109936733.359479 SIZE=1472
ID=30 SEQ=146 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936733.369555 Rx=1109936733.369473 SIZE=1472
ID=30 SEQ=147 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936733.379555 Rx=1109936733.379467 SIZE=1472
ID=30 SEQ=148 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936733.389555 Rx=1109936733.389462 SIZE=1472
ID=30 SEQ=149 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936733.399555 Rx=1109936733.399456 SIZE=1472
ID=30 SEQ=150 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936733.409555 Rx=1109936733.409450 SIZE=1472
ID=30 SEQ=151 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936733.419555 Rx=1109936733.419444 SIZE=1472
ID=30 SEQ=152 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936733.429555 Rx=1109936733.429563 SIZE=1472
ID=30 SEQ=153 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936733.439555 Rx=1109936733.439557 SIZE=1472
ID=30 SEQ=154 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936733.449555 Rx=1109936733.449551 SIZE=1472
ID=30 SEQ=155 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936733.459555 Rx=1109936733.459546 SIZE=1472
ID=30 SEQ=156 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936733.469555 Rx=1109936733.469539 SIZE=1472
ID=30 SEQ=157 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936733.479555 Rx=1109936733.479534 SIZE=1472
ID=30 SEQ=158 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936733.489555 Rx=1109936733.489527 SIZE=1472
ID=30 SEQ=159 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936733.499555 Rx=1109936733.499522 SIZE=1472
ID=30 SEQ=160 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936733.509555 Rx=1109936733.509516 SIZE=1472
ID=30 SEQ=161 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936733.519555 Rx=1109936733.519510 SIZE=1472
ID=30 SEQ=162 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936733.529555 Rx=1109936733.529504 SIZE=1472
ID=30 SEQ=163 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936733.539555 Rx=1109936733.539498 SIZE=1472
ID=30 SEQ=164 SRC=::ffff:195.113.156.205:2000 DST=c371:90fb:::2000 Tx=1109936733.549555 Rx=1109936733.549492 SIZE=1472
